"Carimbo de data/hora","Você costuma comprar regularmente neste estabelecimento?","Como você avalia a variedade de produtos disponíveis?","Como você avalia a qualidade dos produtos oferecidos?","Como você avalia os preços dos nossos produtos?","Como você avalia a limpeza do nosso estabelecimento?","Como você avalia o atendimento dos nossos funcionários?"
"2024/09/11 4:12:55 PM GMT-3","Ocasionalmente","Bom","Bom","Bom","Muito bom","Muito bom"
"2024/09/11 4:37:47 PM GMT-3","Sim","Muito bom","Muito bom","Bom","Muito bom","Muito bom"
"2024/09/11 4:39:43 PM GMT-3","Sim","Muito bom","Muito bom","Muito bom","Muito bom","Muito bom"
"2024/09/11 4:54:06 PM GMT-3","Ocasionalmente","Bom","Bom","Bom","Muito bom","Bom"
"2024/09/11 5:00:57 PM GMT-3","Sim","Bom","Bom","Bom","Bom","Bom"
"2024/09/11 5:01:32 PM GMT-3","Ocasionalmente","Bom","Bom","Bom","Muito bom","Bom"
"2024/09/11 5:12:49 PM GMT-3","Não","Bom","Muito bom","Bom","Muito bom","Muito bom"
"2024/09/11 5:23:59 PM GMT-3","Não","Bom","Bom","Regular","Bom","Bom"
"2024/09/11 5:25:16 PM GMT-3","Sim","Muito bom","Muito bom","Bom","Muito bom","Muito bom"
"2024/09/11 5:37:52 PM GMT-3","Ocasionalmente","Muito bom","Muito bom","Muito bom","Muito bom","Muito bom"
"2024/09/11 5:41:06 PM GMT-3","Sim","Bom","Muito bom","Muito bom","Muito bom","Muito bom"
"2024/09/11 5:42:15 PM GMT-3","Ocasionalmente","Bom","Bom","Bom","Bom","Bom"
"2024/09/11 5:44:26 PM GMT-3","Não","Bom","Muito bom","Bom","Muito bom","Muito bom"
"2024/09/11 5:47:21 PM GMT-3","Sim","Muito bom","Muito bom","Bom","Muito bom","Muito bom"
"2024/09/11 5:52:47 PM GMT-3","Ocasionalmente","Bom","Bom","Bom","Muito bom","Bom"
"2024/09/11 5:57:29 PM GMT-3","Sim","Muito bom","Bom","Bom","Muito bom","Muito bom"
